"","468","Mia","Mia24"
"Z3H7B_HUMAN",3,14,10.5
"SRP68_HUMAN",53.5,56,39.5
"PFD2_HUMAN",7,9,8.5
"FKBPL_HUMAN",2,1,3
"CDC23_HUMAN",9.5,21.5,16
"APC7_HUMAN",10,18,9
"APC5_HUMAN",7.5,27,16.5
"BAG5_HUMAN",12,5,2
"TTC7A_HUMAN",0,0,0
"CHIP_HUMAN",19.5,18,25
"PPIE_HUMAN",5,4,9
"SGT1_HUMAN",19,22.5,30
"TMX2_HUMAN",0,0,0.5
"PPIL1_HUMAN",2.5,3.5,0
"HYOU1_HUMAN",42,30,46
"TF3C3_HUMAN",20,15.5,6
